MyWorkout,Exercise,WorkoutType,Reps,ExDone,WkDone,ExDone_count,WkDone_count,Checkmark
Week 1,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Half Squat Low Heel,HSquat,40,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Full Squat Low Heel,FSquat,10,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Full Squat Low Heel,FSquat,10,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Hold Squat,Hold_Squat,20,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 1,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Half Squat Low Heel,HSquat,50,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Full Squat Low Heel,FSquat,10,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Hold Squat,Hold_Squat,20,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 2,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Traditional Kegel,TKegel,40,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Reverse Kegel,RKegel,40,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Half Squat Low Heel,HSquat,50,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Hold Squat,Hold_Squat,30,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 3,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Half Squat Low Heel,HSquat,50,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Full Squat Low Heel,FSquat,15,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Full Squat Low Heel,FSquat,10,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Full Squat Low Heel,FSquat,10,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Hold Squat,Hold_Squat,20,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Traditional Kegel,TKegel,20,false,false,0,0,"small_round_nocheck.jpg"
Week 4,Reverse Kegel,RKegel,20,false,false,0,0,"small_round_nocheck.jpg"
